CMDLINE /home/jules/.pyenv/versions/3.12.11/bin/python3.12 run_pipeline.py
MEM 657.234375 1754557673.8741
MEM 662.808594 1754557673.9770
MEM 657.878906 1754557674.0831
MEM 661.753906 1754557674.1861
MEM 667.152344 1754557674.2941
MEM 665.921875 1754557674.3977
MEM 662.746094 1754557674.5007
MEM 665.359375 1754557674.6065
MEM 665.210938 1754557674.7128
MEM 656.988281 1754557674.8257
MEM 670.066406 1754557674.9287
MEM 667.210938 1754557675.0389
MEM 670.753906 1754557675.1418
MEM 669.664062 1754557675.2447
MEM 671.925781 1754557675.3477
MEM 673.718750 1754557675.4527
MEM 675.417969 1754557675.5595
MEM 684.832031 1754557675.6634
MEM 683.738281 1754557675.7666
MEM 690.828125 1754557675.8735
MEM 698.828125 1754557675.9796
MEM 708.828125 1754557676.0866
MEM 717.328125 1754557676.1926
MEM 723.164062 1754557676.2990
MEM 729.914062 1754557676.4053
MEM 736.539062 1754557676.5113
MEM 745.289062 1754557676.6182
MEM 753.914062 1754557676.7245
MEM 757.164062 1754557676.8276
MEM 671.156250 1754557676.9381
MEM 679.867188 1754557677.0409
MEM 680.367188 1754557677.1501
MEM 680.367188 1754557677.2529
MEM 680.367188 1754557677.3621
MEM 681.992188 1754557677.4650
MEM 694.050781 1754557677.5694
MEM 696.015625 1754557677.6723
MEM 705.980469 1754557677.7836
MEM 713.617188 1754557677.8866
MEM 710.074219 1754557677.9940
MEM 714.066406 1754557678.0970
MEM 716.285156 1754557678.2033
MEM 708.933594 1754557678.3062
MEM 715.566406 1754557678.4104
MEM 707.058594 1754557678.5163
MEM 712.964844 1754557678.6262
MEM 710.289062 1754557678.7292
MEM 718.390625 1754557678.8382
MEM 717.664062 1754557678.9426
MEM 712.003906 1754557679.0455
MEM 717.140625 1754557679.1541
MEM 715.089844 1754557679.2581
MEM 714.578125 1754557679.3662
MEM 721.453125 1754557679.4691
MEM 714.292969 1754557679.5770
MEM 719.652344 1754557679.6821
MEM 725.320312 1754557679.7873
MEM 712.957031 1754557679.8928
MEM 716.644531 1754557680.0065
MEM 706.480469 1754557680.1095
MEM 717.777344 1754557680.2127
MEM 713.656250 1754557680.3157
MEM 711.738281 1754557680.4190
MEM 724.351562 1754557680.5248
MEM 721.601562 1754557680.6326
MEM 715.183594 1754557680.7382
MEM 718.644531 1754557680.8462
MEM 710.468750 1754557680.9495
MEM 715.792969 1754557681.0632
MEM 723.058594 1754557681.1662
MEM 716.433594 1754557681.2701
MEM 714.535156 1754557681.3766
MEM 714.261719 1754557681.4861
MEM 717.468750 1754557681.5903
MEM 724.890625 1754557681.6992
MEM 722.261719 1754557681.8055
MEM 723.445312 1754557681.9178
MEM 719.796875 1754557682.0262
MEM 721.781250 1754557682.1346
MEM 712.742188 1754557682.2431
MEM 713.062500 1754557682.3492
MEM 716.675781 1754557682.4583
MEM 728.828125 1754557682.5665
MEM 716.121094 1754557682.6747
MEM 720.273438 1754557682.7817
MEM 728.914062 1754557682.8887
MEM 721.644531 1754557682.9970
MEM 722.359375 1754557683.1055
MEM 730.566406 1754557683.2085
MEM 732.269531 1754557683.3182
MEM 729.296875 1754557683.4213
MEM 733.019531 1754557683.5271
MEM 719.265625 1754557683.6351
MEM 730.000000 1754557683.7393
MEM 721.878906 1754557683.8503
MEM 730.113281 1754557683.9531
MEM 718.421875 1754557684.0560
MEM 725.257812 1754557684.1621
MEM 731.988281 1754557684.2731
MEM 735.542969 1754557684.3761
MEM 742.804688 1754557684.4794
MEM 743.332031 1754557684.5866
MEM 731.617188 1754557684.6926
MEM 746.269531 1754557684.7994
MEM 732.925781 1754557684.9024
MEM 746.636719 1754557685.0081
MEM 739.210938 1754557685.1172
MEM 749.414062 1754557685.2201
MEM 742.511719 1754557685.3281
MEM 738.046875 1754557685.4326
MEM 750.230469 1754557685.5400
MEM 736.699219 1754557685.6430
MEM 747.394531 1754557685.7458
MEM 748.644531 1754557685.8520
MEM 758.703125 1754557685.9588
MEM 768.703125 1754557686.0649
MEM 776.703125 1754557686.1716
MEM 787.828125 1754557686.2785
MEM 795.812500 1754557686.3850
MEM 802.687500 1754557686.4913
MEM 809.437500 1754557686.5974
MEM 818.187500 1754557686.7041
MEM 829.562500 1754557686.8104
MEM 836.812500 1754557686.9156
MEM 838.437500 1754557687.0186
MEM 739.968750 1754557687.1243
MEM 748.695312 1754557687.2341
MEM 749.070312 1754557687.3370
MEM 749.070312 1754557687.4461
MEM 749.070312 1754557687.5490
MEM 749.070312 1754557687.6581
MEM 749.070312 1754557687.7610
MEM 749.070312 1754557687.8701
MEM 745.843750 1754557687.9731
MEM 760.789062 1754557688.0762
MEM 773.558594 1754557688.1803
MEM 785.023438 1754557688.2863
MEM 781.828125 1754557688.3954
MEM 782.003906 1754557688.4983
MEM 782.667969 1754557688.6085
MEM 774.136719 1754557688.7115
MEM 777.523438 1754557688.8198
MEM 777.554688 1754557688.9261
MEM 779.078125 1754557689.0290
MEM 782.605469 1754557689.1381
MEM 795.378906 1754557689.2414
MEM 791.546875 1754557689.3447
MEM 791.660156 1754557689.4505
MEM 797.222656 1754557689.5564
MEM 797.343750 1754557689.6626
MEM 792.636719 1754557689.7655
MEM 789.929688 1754557689.8733
MEM 789.597656 1754557689.9789
MEM 792.714844 1754557690.0817
MEM 792.449219 1754557690.1896
MEM 809.027344 1754557690.2962
MEM 811.085938 1754557690.3992
MEM 808.425781 1754557690.5064
MEM 811.769531 1754557690.6117
MEM 821.066406 1754557690.7249
MEM 819.457031 1754557690.8279
MEM 822.433594 1754557690.9309
MEM 816.722656 1754557691.0395
MEM 809.867188 1754557691.1491
MEM 819.898438 1754557691.2564
MEM 823.746094 1754557691.3617
MEM 823.558594 1754557691.4707
MEM 824.234375 1754557691.5736
MEM 829.531250 1754557691.6792
MEM 813.984375 1754557691.7847
MEM 816.019531 1754557691.8941
MEM 821.269531 1754557691.9970
MEM 818.027344 1754557692.1003
MEM 817.582031 1754557692.2139
MEM 820.476562 1754557692.3167
MEM 823.453125 1754557692.4196
MEM 827.097656 1754557692.5235
MEM 816.359375 1754557692.6374
MEM 823.937500 1754557692.7403
MEM 824.523438 1754557692.8433
MEM 826.625000 1754557692.9485
MEM 825.929688 1754557693.0530
MEM 813.097656 1754557693.1591
MEM 816.484375 1754557693.2636
MEM 822.671875 1754557693.3702
MEM 830.179688 1754557693.4731
MEM 830.679688 1754557693.5760
MEM 831.679688 1754557693.6861
MEM 832.929688 1754557693.7889
MEM 813.718750 1754557693.8920
MEM 0.000000 1754557693.9950
