CMDLINE /home/jules/.pyenv/versions/3.12.11/bin/python3.12 run_pipeline.py
MEM 229.957031 1754559270.5976
MEM 229.957031 1754559270.7009
MEM 229.957031 1754559270.8042
MEM 229.957031 1754559270.9075
MEM 229.957031 1754559271.0109
MEM 229.957031 1754559271.1141
MEM 229.957031 1754559271.2175
MEM 229.957031 1754559271.3206
MEM 229.957031 1754559271.4237
MEM 229.957031 1754559271.5271
MEM 229.957031 1754559271.6303
MEM 229.957031 1754559271.7333
MEM 229.957031 1754559271.8366
MEM 229.957031 1754559271.9398
MEM 229.957031 1754559272.0429
MEM 229.957031 1754559272.1461
MEM 229.957031 1754559272.2494
MEM 229.957031 1754559272.3527
MEM 229.957031 1754559272.4558
MEM 229.957031 1754559272.5590
MEM 229.957031 1754559272.6622
MEM 229.957031 1754559272.7654
MEM 229.957031 1754559272.8686
MEM 229.957031 1754559272.9718
MEM 229.957031 1754559273.0750
MEM 229.957031 1754559273.1782
MEM 229.957031 1754559273.2814
MEM 229.957031 1754559273.3845
MEM 229.957031 1754559273.4877
MEM 229.957031 1754559273.5910
MEM 229.957031 1754559273.6941
MEM 229.957031 1754559273.7973
MEM 229.957031 1754559273.9005
MEM 229.957031 1754559274.0037
MEM 229.957031 1754559274.1070
MEM 229.957031 1754559274.2101
MEM 229.957031 1754559274.3133
MEM 229.957031 1754559274.4166
MEM 229.957031 1754559274.5198
MEM 229.957031 1754559274.6231
MEM 229.957031 1754559274.7268
MEM 229.957031 1754559274.8299
MEM 229.957031 1754559274.9333
MEM 229.957031 1754559275.0368
MEM 229.957031 1754559275.1400
MEM 229.957031 1754559275.2432
MEM 229.957031 1754559275.3467
MEM 229.957031 1754559275.4501
MEM 229.957031 1754559275.5537
MEM 229.957031 1754559275.6573
MEM 229.957031 1754559275.7608
MEM 229.957031 1754559275.8639
MEM 229.957031 1754559275.9674
MEM 229.957031 1754559276.0707
MEM 229.957031 1754559276.1741
MEM 229.957031 1754559276.2776
MEM 229.957031 1754559276.3810
MEM 229.957031 1754559276.4846
MEM 229.957031 1754559276.5881
